longitude,latitude,housing_age,homeowner_income,house_price
-122.23,37.88,41,8.3252,452600
-122.22,37.86,21,8.3014,358500
-122.24,37.85,52,7.2574,352100
-122.25,37.85,52,5.6431,341300
-122.25,37.85,52,3.8462,342200
-122.25,37.85,52,4.0368,269700
-122.25,37.84,52,3.6591,299200
-122.25,37.84,52,3.12,241400
-122.26,37.84,42,2.0804,226700
-122.25,37.84,52,3.6912,261100
-122.26,37.85,52,3.2031,281500
-122.26,37.85,52,3.2705,241800
-122.26,37.85,52,3.075,213500
-122.26,37.84,52,2.6736,191300
-122.26,37.85,52,1.9167,159200
-122.26,37.85,50,2.125,140000
-122.27,37.85,52,2.775,152500
-122.27,37.85,52,2.1202,155500
-122.26,37.84,50,1.9911,158700
-122.27,37.84,52,2.6033,162900
-122.27,37.85,40,1.3578,147500
-122.27,37.85,42,1.7135,159800
-122.27,37.84,52,1.725,113900
-122.27,37.84,52,2.1806,99700
-122.27,37.84,52,2.6,132600
-122.28,37.85,41,2.4038,107500
-122.28,37.85,49,2.4597,93800
-122.28,37.85,52,1.808,105500
-122.28,37.84,50,1.6424,108900
-122.28,37.84,52,1.6875,132000
-122.28,37.84,49,1.9274,122300
-122.28,37.84,52,1.9615,115200
-122.27,37.84,48,1.7969,110400
-122.27,37.83,49,1.375,104900
-122.27,37.83,51,2.7303,109700
-122.27,37.83,49,1.4861,97200
-122.27,37.83,48,1.0972,104500
-122.28,37.83,52,1.4103,103900
-122.26,37.83,52,3.48,191400
-122.26,37.83,52,2.5898,176000
-122.26,37.83,52,2.0978,155400
-122.26,37.83,51,1.2852,150000
-122.26,37.84,49,1.025,118800
-122.26,37.84,52,3.9643,188800
-122.26,37.83,52,3.0125,184400
-122.26,37.83,52,2.6768,182300
-122.26,37.83,50,2.026,142500
-122.27,37.82,43,1.7348,137500
-122.26,37.82,40,0.9506,187500
-122.27,37.82,40,1.775,112500
-122.27,37.82,21,0.9218,171900
-122.27,37.82,43,1.5045,93800
-122.27,37.82,41,1.1108,97500
-122.27,37.82,52,1.2475,104200
-122.28,37.82,52,1.6098,87500
-122.28,37.82,52,1.4113,83100
-122.28,37.82,52,1.5057,87500
-122.28,37.82,52,0.8172,85300
-122.28,37.82,52,1.2171,80300
-122.29,37.82,2,2.5625,60000
-122.29,37.83,52,3.3929,75700
-122.29,37.82,49,6.1183,75000
-122.29,37.81,50,0.9011,86100
-122.3,37.81,52,1.191,76100
-122.3,37.81,48,2.5938,73500
-122.3,37.81,52,1.1667,78400
-122.3,37.81,48,0.8056,84400
-122.29,37.8,52,2.6094,81300
-122.3,37.81,52,1.8516,85000
-122.29,37.81,46,0.9802,129200
-122.29,37.81,26,1.7719,82500
-122.29,37.81,46,0.7286,95200
-122.29,37.81,49,1.75,75000
-122.29,37.81,46,0.4999,67500
-122.29,37.81,20,2.483,137500
-122.28,37.81,17,0.9241,177500
-122.28,37.81,36,2.4464,102100
-122.28,37.81,19,1.1111,108300
-122.29,37.81,23,0.8026,112500
-122.28,37.8,38,2.0114,131300
-122.28,37.81,17,1.5,162500
-122.27,37.81,52,1.1667,112500
-122.28,37.81,52,1.5208,112500
-122.28,37.81,52,0.8075,137500
-122.28,37.81,35,1.8088,118800
-122.28,37.81,52,2.4083,98200
-122.27,37.81,40,0.977,118800
-122.27,37.81,10,0.76,162500
-122.27,37.8,10,0.9722,137500
-122.27,37.8,52,1.2434,500001
-122.27,37.8,16,2.0938,162500
-122.28,37.8,52,0.8668,137500
-122.28,37.8,52,0.75,162500
-122.27,37.79,27,2.6354,187500
-122.27,37.8,39,1.8477,179200
-122.26,37.8,36,2.0096,130000
-122.26,37.82,31,2.8345,183800
-122.26,37.81,29,2.0062,125000
-122.26,37.82,22,1.2185,170000
-122.26,37.82,37,2.6104,193100
-122.25,37.81,29,2.4912,257800
-122.25,37.81,28,3.2177,273400
-122.25,37.81,39,3.125,237500
-122.25,37.81,52,2.5795,350000
-122.26,37.81,34,2.8406,335700
-122.24,37.82,52,4.9306,313400
-122.24,37.81,52,3.2727,268500
-122.25,37.81,52,3.1691,259400
-122.24,37.82,52,3.9,275700
-122.25,37.82,28,3.9063,225000
-122.25,37.82,52,5.0917,262500
-122.25,37.82,32,2.6429,218500
-122.25,37.82,26,3.0233,255000
-122.25,37.83,52,3.1484,224100
-122.25,37.83,35,3.4722,243100
-122.25,37.83,52,3.1429,231600
-122.25,37.83,28,2.4234,218500
-122.25,37.83,52,3.0897,234100
-122.23,37.84,50,5.8596,327600
-122.23,37.84,47,5.2868,347600
-122.24,37.83,41,5.956,366100
-122.24,37.85,37,4.9643,335000
-122.23,37.85,52,6.3434,373600
-122.24,37.84,52,5.1773,389500
-122.24,37.85,52,7.2354,391100
-122.22,37.85,28,5.457,337300
-122.22,37.84,50,7.5,295200
-122.21,37.84,44,6.0194,292300
-122.21,37.83,40,7.5544,411500
-122.2,37.84,30,6.0666,311500
-122.21,37.84,34,7.0548,325900
-122.19,37.84,18,11.6017,392600
-122.2,37.84,35,7.4882,319300
